claim_id,referrer_id,transaction_status,transaction_success,first_claim,referral_amount,release_patient_discount
4c904f72-3f3c-44bd-a1f6-54529db00387,73814d21-5cea-4aef-8072-7e283abdd7b8,success,true,true,80,true
de3eb6d2-ab0a-41b2-85e4-fa35dd409267,73814d21-5cea-4aef-8072-7e283abdd7b8,success,true,false,40,true
9278afb9-8331-4fe1-9b62-65a1b8d8ed02,f5377cb0-df2b-475a-a414-5f2e6a771501,success,true,true,80,true
a4488223-6308-4015-94f9-49e50c51a4a1,97103342-c46a-4772-a326-1391153eb8b1,success,true,true,80,true
abd523c6-0935-408d-a8b4-1da1c2cd2cc8,855e19a2-33d4-4fad-8add-1f4f2731c970,success,true,true,80,true
b0049305-6016-441b-a464-a25a5edf7c20,ac7306ce-e1c3-4cf0-a518-3564c337ad35,success,true,true,80,true
847e904c-355c-4188-b5e7-712de3d5ef17,e1116be5-322b-44e8-a2af-b21fc41acfad,success,true,true,80,true
73ab6008-b9a4-44c6-bab5-b388e9e3f38a,3b108f69-68e6-43b7-acaf-61762c0bd45d,success,true,true,80,true
56f5ad4d-062a-4d62-8047-ac20fb6c85ca,a3035c9b-dc5c-422d-b65e-58e77acefb9a,success,true,true,80,true
638dd1bf-ca20-4311-bb53-6b35d8075066,91acab7b-12f6-4076-9d7f-721936e16aa9,success,true,true,80,true
ed8c179c-0102-41a4-adf7-d2a5b81e1811,46291c27-ccb8-43ea-a25e-a3c23a7db933,,false,true,,false
3df0a425-e9e0-464d-b14a-299f2fc9e00d,f5377cb0-df2b-475a-a414-5f2e6a771501,,false,false,,false
3cf9a9c7-4eeb-421b-a309-1a6d90d76683,cd0925c0-e8d9-41d8-a7cf-71bf94551ac2,success,true,true,80,true
6b0b3721-d258-401e-bd3c-5550233221e1,46291c27-ccb8-43ea-a25e-a3c23a7db933,,false,true,,false
a4920614-9eac-416e-b39d-55c5b9b1c764,d197999f-a021-4cdf-83e3-c73d17f39c68,,false,true,,false
603b4114-3edc-4e07-bcb1-5a33c2f473ac,d197999f-a021-4cdf-83e3-c73d17f39c68,,false,true,,false
70f73779-7630-425c-a0c1-e207aad40870,d197999f-a021-4cdf-83e3-c73d17f39c68,,false,true,,false
a5763c67-2a64-40c7-9c77-583345753999,d197999f-a021-4cdf-83e3-c73d17f39c68,,false,true,,false
1ec4eacd-0019-4455-b7b8-36dfdd6505fd,2c4d14e8-0a56-43f0-a522-461136381b08,success,true,true,80,true
fa739966-9b2d-4498-ad86-4509473d4fa3,73814d21-5cea-4aef-8072-7e283abdd7b8,,false,false,,false
